MeterId,ProductName,SKU,Region,Location,Price,Currency,ServiceFamily,Unit,EffectiveDate,Type
3abbf3d9-17b7-5907-a01c-064b2b0729cc,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E32d_v5,eastus,US East,3.779,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
3ac7188d-e7f9-5f7c-bea8-93d970c1881c,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,1 vCore,centralindia,IN Central,0.1205,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
3ad27acf-3c94-5554-8c29-db1ad4b67a26,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,1 vCore,norwayeast,NO East,0.15719,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3ad4f131-e989-5d78-b9fa-c92838ba6394,Azure Database for MySQL Single Server Basic Storage,Basic,indonesiacentral,ID Central,0.07168,USD,Databases,1 GB/Month,2025-05-01T00:00:00Z,Consumption
3adbfa6b-55ec-4e61-80a0-d91428271100,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,norwayeast,NO East,0.15719,USD,Databases,1 Hour,2019-12-01T00:00:00Z,Consumption
3aecd930-5080-5a20-ab3a-ffb9980fbca5,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E32d_v5,westcentralus,US West Central,4.538,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
3b043232-370b-5e63-9553-1cf0f8ef8a13,Azure Database for MySQL Standard Storage,Standard,austriaeast,AT East,0.088442,USD,Databases,1 GB/Month,2025-05-01T00:00:00Z,Consumption
3b06c0e5-653a-5cec-b338-77d15a431458,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E16d_v5,centralus,US Central,2.17,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
3b17824c-d722-5f3f-819d-c9b0f9bcd721,Az DB for MySQL Flex Svr Backup Storage,Backup Storage LRS,usgovarizona,US Gov AZ,0.095,USD,Databases,1 GB/Month,2022-12-01T00:00:00Z,Consumption
879698bf-1762-58e2-960c-f9dda69507d4,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,vCore,germanywestcentral,DE West Central,0.1015,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
879698bf-1762-58e2-960c-f9dda69507d4,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,vCore,germanywestcentral,DE West Central,535.0,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Reservation
879698bf-1762-58e2-960c-f9dda69507d4,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,vCore,germanywestcentral,DE West Central,1070.0,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Reservation
3b2aafdb-de8c-5c5b-a6ea-4d06f36e5492,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,1 vCore,northeurope,EU North,0.1311,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
3b583e41-d2ce-5f58-81e6-eb241eb6d5f3,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,ukwest,UK West,0.099,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3b583e41-d2ce-5f58-81e6-eb241eb6d5f3,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,ukwest,UK West,520.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3b583e41-d2ce-5f58-81e6-eb241eb6d5f3,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,ukwest,UK West,1041.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3b60ac8e-96c0-507e-a615-f3bb4b04ea55,Az DB for MySQL Flexible Server Storage,Storage,australiacentral2,AU Central 2,0.138,USD,Databases,1 GB/Month,2023-10-01T00:00:00Z,Consumption
3b614bb0-2a69-4f90-a14e-fa5c01d2abe0,Azure Database for MySQL Single Server - Backup Storage,Backup LRS,francecentral,FR Central,0.116,USD,Databases,1 GB/Month,2018-05-01T00:00:00Z,Consumption
3b6a9b14-73c1-5373-b7bc-3877b2783fd9,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,spaincentral,ES Central,0.0985,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3b6a9b14-73c1-5373-b7bc-3877b2783fd9,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,spaincentral,ES Central,518.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3b6a9b14-73c1-5373-b7bc-3877b2783fd9,Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute,vCore,spaincentral,ES Central,1035.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
